CCTV-1 | CCTV-1 综合 | CCTV-1, CCTV-1 综合
CCTV-5 | CCTV-5 体育 | CCTV-5, CCTV-5 体育
CCTV-5+ | CCTV-5+ 体育赛事 | CCTV-5+, CCTV5+, CCTV-5+ 体育赛事
CCTV-7 | CCTV-7 国防军事 | CCTV-7, CCTV-7 国防军事
CCTV-9 | CCTV-9 纪录 | CCTV-9, CCTV-9 纪录
CCTV-10 | CCTV-10 科教 | CCTV-10, CCTV-10 科教
CCTV-16 | CCTV-16 奥林匹克 | CCTV-16, CCTV-16 奥林匹克
CCTV Fengyun Football | CCTV 风云足球 | CCTV Fengyun Football, 风云足球, CCTV 风云足球
CCTV World Geography | CCTV 世界地理 | CCTV世界地理, CCTV World Geography, CCTV 世界地理
CCTV Weaponry Technology | CCTV 兵器科技 | CCTV Weaponry Technology, 兵器科技, CCTV 兵器科技
CCTV4 HD | CCTV-4 中文国际 | CCTV4 HD, CCTV-4 中文国际
明珠台 | 明珠台 | 明珠台, Pearl
Phoenix Chinese Channel HD | 凤凰中文台 | Phoenix Chinese Channel HD, 凤凰中文台, 凤凰中文
Phoenix Info News HD | 凤凰资讯台 | Phoenix Info News HD, 凤凰资讯台, 凤凰资讯
Phoenix Hong Kong | 凤凰香港 | Phoenix Hong Kong, 凤凰香港
Phoenix TV | 凤凰卫视 | Phoenix TV, 凤凰卫视
TVBS Asia | TVBS 亚洲 | TVBS Asia, TVBS-Asia, TVBS 亚洲, TVBS亚洲
EBC Variety | 东森综合 | EBC Variety, 东森综合
TVB Jade | TVB 翡翠台 | TVB Jade, TVB 翡翠台
TVB Entertainment News | TVB 娱乐新闻 | TVB Entertainment News, TVB 娱乐新闻
TVB Xing He HD | TVB 星河 | TVB Xing He HD, TVB 星河
CGTN HD | 中国国际电视台 | CGTN HD, 中国国际电视台
CGTN Documentary | CGTN 纪录片 | CGTN Documentary, CGTN 纪录片
CNA HD | 亚洲新闻台 | CNA HD, 亚洲新闻台
8TV | 八度空间 | 8TV, 八度空间
Astro AEC HD | Astro AEC 高清 | Astro AEC HD, Astro AEC 高清
Astro QJ | Astro QJ 娱乐 | Astro QJ
Astro AOD HD | Astro AOD 高清 | Astro AOD HD, Astro AOD 高清
Astro Grandstand | Astro 大看台 | Astro Grandstand, Astro 大看台
Astro Premier League | Astro 英超 | Astro Premier League, Astro 英超
Astro Premier League 2 | Astro 英超 2 | Astro Premier League 2, Astro 英超 2
Astro Football | Astro 足球 | Astro Football, Astro 足球
Astro Badminton | Astro 羽毛球 | Astro Badminton, Astro 羽毛球
Astro Sports Plus | Astro 体育加 | Astro Sports Plus, Astro 体育加
CNN HD | CNN 新闻 | CNN HD, CNN 新闻
Bloomberg Television | 彭博电视 | Bloomberg Television, 彭博电视
Love Nature 4K | 爱自然 4K | Love Nature 4K, 爱自然 4K
BBC Earth | BBC 地球 | BBC Earth, BBC 地球
History | 历史频道 | History, 历史频道
Nickelodeon | 尼克儿童频道 | Nickelodeon, 尼克儿童频道
Nick Jr | 小尼克 | Nick Jr, 小尼克
Moonbug Kids | 月亮虫儿童 | Moonbug Kids, 月亮虫儿童
AXN | AXN 亚洲 | AXN, AXN 亚洲
BBC News | BBC 新闻 | BBC News, BBC 新闻
Reuters | 路透社 | Reuters, 路透社
Disney XD | 迪士尼 XD | Disney XD, 迪士尼 XD
National Geographic | 国家地理频道 | National Geographic, 国家地理频道
Wild Earth | 野生地球 | Wild Earth, 野生地球
Kartoon Channel | 卡通频道 | Kartoon Channel, 卡通频道
History Hit | History Hit 历史 | History Hit, History Hit 历史
beIN Sports Xtra | beIN Sports Xtra 体育 | beIN Sports Xtra, beIN Sports Xtra 体育
